"Plot Title: BAROMETRO"
"#","Date Time, GMT-03:00","Abs Pres, psi (LGR S/N: 10416742, SEN S/N: 10416742)","Temp, °F (LGR S/N: 10416742, SEN S/N: 10416742)","Méd.: Pressão, psi (LGR S/N: 10416742)"
1,03/28/19 01:00:00 PM,14.3918,79.853,14.3918
2,03/28/19 01:05:00 PM,14.3924,78.800,14.3924
3,03/28/19 01:10:00 PM,14.3915,78.274,14.3915
4,03/28/19 01:15:00 PM,14.3908,77.923,14.3908
5,03/28/19 01:20:00 PM,14.3890,78.274,14.3890
6,03/28/19 01:25:00 PM,14.3893,78.449,14.3893
7,03/28/19 01:30:00 PM,14.3872,78.624,14.3872
8,03/28/19 01:35:00 PM,14.3866,79.678,14.3866
9,03/28/19 01:40:00 PM,14.3869,79.853,14.3869
10,03/28/19 01:45:00 PM,14.3863,79.502,14.3863
11,03/28/19 01:50:00 PM,14.3832,79.151,14.3832
12,03/28/19 01:55:00 PM,14.3832,77.749,14.3832
13,03/28/19 02:00:00 PM,14.3827,77.400,14.3827
14,03/28/19 02:05:00 PM,14.3812,77.923,14.3812
15,03/28/19 02:10:00 PM,14.3854,77.574,14.3854
16,03/28/19 02:15:00 PM,14.3818,78.274,14.3818
17,03/28/19 02:20:00 PM,14.3802,78.800,14.3802
18,03/28/19 02:25:00 PM,14.3815,79.502,14.3815
19,03/28/19 02:30:00 PM,14.3815,79.502,14.3815
20,03/28/19 02:35:00 PM,14.3779,78.800,14.3779
21,03/28/19 02:40:00 PM,14.3790,78.098,14.3790
22,03/28/19 02:45:00 PM,14.3772,77.050,14.3772
23,03/28/19 02:50:00 PM,14.3790,76.703,14.3790
24,03/28/19 02:55:00 PM,14.3769,76.876,14.3769
25,03/28/19 03:00:00 PM,14.3788,77.923,14.3788
26,03/28/19 03:05:00 PM,14.3779,78.800,14.3779
27,03/28/19 03:10:00 PM,14.3757,77.574,14.3757
28,03/28/19 03:15:00 PM,14.3735,76.354,14.3735
29,03/28/19 03:20:00 PM,14.3745,76.876,14.3745
30,03/28/19 03:25:00 PM,14.3721,76.876,14.3721
31,03/28/19 03:30:00 PM,14.3735,76.354,14.3735
32,03/28/19 03:35:00 PM,14.3700,75.659,14.3700
33,03/28/19 03:40:00 PM,14.3709,74.791,14.3709
34,03/28/19 03:45:00 PM,14.3722,74.098,14.3722
35,03/28/19 03:50:00 PM,14.3692,75.139,14.3692
36,03/28/19 03:55:00 PM,14.3721,76.876,14.3721
37,03/28/19 04:00:00 PM,14.3732,78.975,14.3732
38,03/28/19 04:05:00 PM,14.3712,79.151,14.3712
39,03/28/19 04:10:00 PM,14.3738,79.326,14.3738
40,03/28/19 04:15:00 PM,14.3727,80.029,14.3727
41,03/28/19 04:20:00 PM,14.3718,80.911,14.3718
42,03/28/19 04:25:00 PM,14.3727,80.029,14.3727
43,03/28/19 04:30:00 PM,14.3696,78.274,14.3696
44,03/28/19 04:35:00 PM,14.3705,77.400,14.3705
45,03/28/19 04:40:00 PM,14.3718,78.098,14.3718
46,03/28/19 04:45:00 PM,14.3699,78.449,14.3699
47,03/28/19 04:50:00 PM,14.3687,77.749,14.3687
48,03/28/19 04:55:00 PM,14.3673,76.876,14.3673
49,03/28/19 05:00:00 PM,14.3679,77.225,14.3679
50,03/28/19 05:05:00 PM,14.3660,76.181,14.3660
51,03/28/19 05:10:00 PM,14.3640,74.964,14.3640
52,03/28/19 05:15:00 PM,14.3648,75.484,14.3648
53,03/28/19 05:20:00 PM,14.3648,75.484,14.3648
54,03/28/19 05:25:00 PM,14.3634,74.619,14.3634
55,03/28/19 05:30:00 PM,14.3647,73.926,14.3647
56,03/28/19 05:35:00 PM,14.3629,72.891,14.3629
57,03/28/19 05:40:00 PM,14.3624,72.545,14.3624
58,03/28/19 05:45:00 PM,14.3621,72.372,14.3621
59,03/28/19 05:50:00 PM,14.3634,71.683,14.3634
60,03/28/19 05:55:00 PM,14.3625,71.168,14.3625
61,03/28/19 06:00:00 PM,14.3613,70.480,14.3613
62,03/28/19 06:05:00 PM,14.3629,69.964,14.3629
63,03/28/19 06:10:00 PM,14.3624,69.622,14.3624
64,03/28/19 06:15:00 PM,14.3593,69.278,14.3593
65,03/28/19 06:20:00 PM,14.3612,68.934,14.3612
66,03/28/19 06:25:00 PM,14.3628,68.421,14.3628
67,03/28/19 06:30:00 PM,14.3622,68.077,14.3622
68,03/28/19 06:35:00 PM,14.3619,67.906,14.3619
69,03/28/19 06:40:00 PM,14.3613,67.564,14.3613
70,03/28/19 06:45:00 PM,14.3612,67.392,14.3612
71,03/28/19 06:50:00 PM,14.3606,67.050,14.3606
72,03/28/19 06:55:00 PM,14.3625,66.708,14.3625
73,03/28/19 07:00:00 PM,14.3622,66.537,14.3622
74,03/28/19 07:05:00 PM,14.3645,66.537,14.3645
75,03/28/19 07:10:00 PM,14.3644,66.366,14.3644
76,03/28/19 07:15:00 PM,14.3644,66.366,14.3644
77,03/28/19 07:20:00 PM,14.3667,66.366,14.3667
78,03/28/19 07:25:00 PM,14.3619,66.366,14.3619
79,03/28/19 07:30:00 PM,14.3644,66.366,14.3644
80,03/28/19 07:35:00 PM,14.3644,66.366,14.3644
81,03/28/19 07:40:00 PM,14.3641,66.193,14.3641
82,03/28/19 07:45:00 PM,14.3638,66.022,14.3638
83,03/28/19 07:50:00 PM,14.3661,66.022,14.3661
84,03/28/19 07:55:00 PM,14.3635,65.851,14.3635
85,03/28/19 08:00:00 PM,14.3660,65.851,14.3660
86,03/28/19 08:05:00 PM,14.3635,65.851,14.3635
87,03/28/19 08:10:00 PM,14.3661,66.022,14.3661
88,03/28/19 08:15:00 PM,14.3686,66.022,14.3686
89,03/28/19 08:20:00 PM,14.3686,66.022,14.3686
90,03/28/19 08:25:00 PM,14.3664,66.193,14.3664
91,03/28/19 08:30:00 PM,14.3664,66.193,14.3664
92,03/28/19 08:35:00 PM,14.3664,66.193,14.3664
93,03/28/19 08:40:00 PM,14.3664,66.193,14.3664
94,03/28/19 08:45:00 PM,14.3686,66.022,14.3686
95,03/28/19 08:50:00 PM,14.3686,66.022,14.3686
96,03/28/19 08:55:00 PM,14.3661,66.022,14.3661
97,03/28/19 09:00:00 PM,14.3686,66.022,14.3686
98,03/28/19 09:05:00 PM,14.3686,66.022,14.3686
99,03/28/19 09:10:00 PM,14.3686,66.022,14.3686
100,03/28/19 09:15:00 PM,14.3683,65.851,14.3683
101,03/28/19 09:20:00 PM,14.3683,65.851,14.3683
102,03/28/19 09:25:00 PM,14.3680,65.680,14.3680
103,03/28/19 09:30:00 PM,14.3727,65.509,14.3727
104,03/28/19 09:35:00 PM,14.3702,65.509,14.3702
105,03/28/19 09:40:00 PM,14.3724,65.338,14.3724
106,03/28/19 09:45:00 PM,14.3699,65.338,14.3699
107,03/28/19 09:50:00 PM,14.3699,65.338,14.3699
