"Plot Title: EH-P01"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 10440731, SEN S/N: 10440731)","Chuva, mm (LGR S/N: 10440731, SEN S/N: 10440731)","Soma Acum.: Chuva, mm (LGR S/N: 10440731)","Coupler Attached (LGR S/N: 10440731)","Host Connected (LGR S/N: 10440731)","Coupler Detached (LGR S/N: 10440731)","End Of File (LGR S/N: 10440731)"
58,03/09/20 04:45:00 PM,92.737,,0.0,,,,,Deployment Info
59,03/09/20 04:50:00 PM,93.115,,0.0,,,,,Full Series Name: Soma Acum.: Chuva, mm
60,03/09/20 04:55:00 PM,94.253,,0.0,,,,,Launch Name: EH-P01
61,03/09/20 05:00:00 PM,95.400,,0.0,,,,,Deployment Number: 11
62,03/09/20 05:05:00 PM,95.590,,0.0,,,,,Launch Time: 03/09/20 11:43:47 AM GMT-03:00
63,03/09/20 05:10:00 PM,95.016,,0.0,,,,,Logging Interval: 00 Hr 05 Min 00 Sec
64,03/09/20 05:15:00 PM,93.873,,0.0,,,,,Launch GMT Offset: -3 Hr 0 Min
65,03/09/20 05:20:00 PM,92.550,,0.0,,,,,Battery at Launch: 2.93 Volts
66,03/09/20 05:25:00 PM,91.425,,0.0,,,,,Launching Program: HOBOware -3.7.12_0425_0948_Windows
67,03/09/20 05:30:00 PM,90.867,,0.0,,,,,Series Statistics
68,03/09/20 05:35:00 PM,90.867,,0.0,,,,,Samples: 17,363
69,03/09/20 05:40:00 PM,91.053,,0.0,,,,,First Sample Time: 03/09/20 12:00:00 PM GMT-03:00
70,03/09/20 05:45:00 PM,91.240,,0.0,,,,,Last Sample Time: 05/08/20 06:50:00 PM GMT-03:00
71,03/09/20 05:50:00 PM,91.053,,0.0,,,,,Filter Parameters
72,03/09/20 05:55:00 PM,90.680,,0.0,,,,,Filter Type: Sum of event values
73,03/09/20 06:00:00 PM,90.309,,0.0,,,,,Filter Interval: 5 Minutes
74,03/09/20 06:05:00 PM,89.569,,0.0,,,,,Original Series: Chuva
75,03/09/20 06:10:00 PM,88.833,,0.0,,,,,Event Type: Coupler Attached
76,03/09/20 06:15:00 PM,87.733,,0.0,,,,,Devices
77,03/09/20 06:20:00 PM,86.823,,0.0,,,,,Device Info
78,03/09/20 06:25:00 PM,85.735,,0.0,,,,,Product: HOBO UA-003-64 Pendant Temp/Event
79,03/09/20 06:30:00 PM,84.834,,0.0,,,,,Serial Number: 10440731
80,03/09/20 06:35:00 PM,83.935,,0.0,,,,,Version Number: 1.17
81,03/09/20 06:40:00 PM,83.221,,0.0,,,,,Manufacturer: Onset Computer Corp.
82,03/09/20 06:45:00 PM,82.508,,0.0,,,,,Device Memory: 65536
83,03/09/20 06:50:00 PM,81.797,,0.0,,,,,Header Created: 05/08/18 12:05:31 PM GMT-03:00
84,03/09/20 06:55:00 PM,81.090,,0.0,,,,,Deployment Info
85,03/09/20 07:00:00 PM,80.382,,0.0,,,,,Full Series Name: Coupler Attached
86,03/09/20 07:05:00 PM,79.678,,0.0,,,,,Launch Name: EH-P01
87,03/09/20 07:10:00 PM,79.151,,0.0,,,,,Deployment Number: 11
88,03/09/20 07:15:00 PM,78.624,,0.0,,,,,Launch Time: 03/09/20 11:43:47 AM GMT-03:00
89,03/09/20 07:20:00 PM,77.923,,0.0,,,,,Launch GMT Offset: -3 Hr 0 Min
90,03/09/20 07:25:00 PM,77.400,,0.0,,,,,Battery at Launch: 2.93 Volts
91,03/09/20 07:30:00 PM,76.703,,0.0,,,,,Series Statistics
92,03/09/20 07:35:00 PM,76.181,,0.0,,,,,Samples: 1
93,03/09/20 07:40:00 PM,75.659,,0.0,,,,,First Sample Time: 05/08/20 06:53:33 PM GMT-03:00
94,03/09/20 07:45:00 PM,74.964,,0.0,,,,,Last Sample Time: 05/08/20 06:53:33 PM GMT-03:00
95,03/09/20 07:50:00 PM,74.446,,0.0,,,,,Event Type: Host Connected
96,03/09/20 07:55:00 PM,73.926,,0.0,,,,,Devices
97,03/09/20 08:00:00 PM,73.580,,0.0,,,,,Device Info
98,03/09/20 08:05:00 PM,73.234,,0.0,,,,,Product: HOBO UA-003-64 Pendant Temp/Event
99,03/09/20 08:10:00 PM,72.718,,0.0,,,,,Serial Number: 10440731
100,03/09/20 08:15:00 PM,72.372,,0.0,,,,,Version Number: 1.17
101,03/09/20 08:20:00 PM,71.856,,0.0,,,,,Manufacturer: Onset Computer Corp.
102,03/09/20 08:25:00 PM,71.683,,0.0,,,,,Device Memory: 65536
103,03/09/20 08:30:00 PM,71.339,,0.0,,,,,Header Created: 05/08/18 12:05:31 PM GMT-03:00
