"Plot Title: EH-HS02 Can"
"#","Date Time, GMT-03:00","Nível de Água, Metros (LGR S/N: 10631709, SEN S/N: 10260378)","Rain, in (LGR S/N: 10631709, SEN S/N: 10573338)","Máx.: Nível de Água, Metros (LGR S/N: 10631709)","Máx.: Chuva, in (LGR S/N: 10631709)"
107,03/22/18 02:53:00 PM,0.4405,0.000,,
108,03/22/18 02:53:30 PM,0.4405,0.000,,
109,03/22/18 02:54:00 PM,0.4405,0.000,,
110,03/22/18 02:54:30 PM,0.4405,0.000,,
111,03/22/18 02:55:00 PM,0.4405,0.000,0.4405,0.000
112,03/22/18 02:55:30 PM,0.4405,0.000,,
113,03/22/18 02:56:00 PM,0.4405,0.000,,
114,03/22/18 02:56:30 PM,0.4405,0.000,,
115,03/22/18 02:57:00 PM,0.4405,0.000,,
116,03/22/18 02:57:30 PM,0.4405,0.000,,
117,03/22/18 02:58:00 PM,0.4405,0.000,,
118,03/22/18 02:58:30 PM,0.4405,0.000,,
119,03/22/18 02:59:00 PM,0.4405,0.000,,
120,03/22/18 02:59:30 PM,0.4405,0.000,,
121,03/22/18 03:00:00 PM,0.4405,0.000,0.4405,0.000
122,03/22/18 03:00:30 PM,0.4405,0.000,,
123,03/22/18 03:01:00 PM,0.4405,0.000,,
124,03/22/18 03:01:30 PM,0.4405,0.000,,
125,03/22/18 03:02:00 PM,0.4405,0.000,,
126,03/22/18 03:02:30 PM,0.4405,0.000,,
127,03/22/18 03:03:00 PM,0.4405,0.000,,
128,03/22/18 03:03:30 PM,0.4405,0.000,,
129,03/22/18 03:04:00 PM,0.4405,0.000,,
130,03/22/18 03:04:30 PM,0.4405,0.000,,
131,03/22/18 03:05:00 PM,0.4405,0.000,0.4405,0.000
132,03/22/18 03:05:30 PM,0.4405,0.000,,
133,03/22/18 03:06:00 PM,0.4405,0.000,,
134,03/22/18 03:06:30 PM,0.4405,0.000,,
135,03/22/18 03:07:00 PM,0.4405,0.000,,
136,03/22/18 03:07:30 PM,0.4405,0.000,,
137,03/22/18 03:08:00 PM,0.4405,0.000,,
138,03/22/18 03:08:30 PM,0.4405,0.000,,
139,03/22/18 03:09:00 PM,0.4405,0.000,,
140,03/22/18 03:09:30 PM,0.4405,0.000,,
141,03/22/18 03:10:00 PM,0.4405,0.000,0.4405,0.000
142,03/22/18 03:10:30 PM,0.4405,0.000,,
143,03/22/18 03:11:00 PM,0.4405,0.000,,
144,03/22/18 03:11:30 PM,0.4405,0.000,,
145,03/22/18 03:12:00 PM,0.4405,0.000,,
146,03/22/18 03:12:30 PM,0.4405,0.000,,
147,03/22/18 03:13:00 PM,0.4405,0.000,,
148,03/22/18 03:13:30 PM,0.4405,0.000,,
149,03/22/18 03:14:00 PM,0.4405,0.000,,
150,03/22/18 03:14:30 PM,0.4405,0.000,,
151,03/22/18 03:15:00 PM,0.4405,0.000,0.4405,0.000
152,03/22/18 03:15:30 PM,0.4405,0.000,,
153,03/22/18 03:16:00 PM,0.4405,0.000,,
154,03/22/18 03:16:30 PM,0.4405,0.000,,
155,03/22/18 03:17:00 PM,0.4405,0.000,,
156,03/22/18 03:17:30 PM,0.4405,0.000,,
157,03/22/18 03:18:00 PM,0.4405,0.000,,
158,03/22/18 03:18:30 PM,0.4405,0.000,,
159,03/22/18 03:19:00 PM,0.4405,0.000,,
160,03/22/18 03:19:30 PM,0.4405,0.000,,
161,03/22/18 03:20:00 PM,0.4405,0.000,0.4405,0.000
162,03/22/18 03:20:30 PM,0.4405,0.000,,
163,03/22/18 03:21:00 PM,0.4405,0.000,,
164,03/22/18 03:21:30 PM,0.4405,0.000,,
165,03/22/18 03:22:00 PM,0.4405,0.000,,
166,03/22/18 03:22:30 PM,0.4405,0.000,,
167,03/22/18 03:23:00 PM,0.4405,0.000,,
